success,video_name,worker_id,duration,avg_processing_time_ms,avg_vehicle_count,avg_speed,routed_to
True,cctv052x2004080516x01638.avi,0.0,3.627486228942871,67.6366833021056,13.320754716981131,37.10136994695238,edge
True,cctv052x2004080516x01639.avi,1.0,3.8661322593688965,72.24166618203218,14.30188679245283,37.303342555265075,edge
True,cctv052x2004080516x01640.avi,2.0,3.212383985519409,66.07691943645477,10.208333333333334,35.466447722551095,edge
True,cctv052x2004080516x01641.avi,,18.284404277801514,350.8828282356262,15.096153846153847,34.286258871568045,cloud
True,cctv052x2004080516x01642.avi,4.0,3.6547691822052,70.85007312251072,12.196078431372548,32.58972540243297,edge
True,cctv052x2004080619x00098.avi,0.0,3.3270726203918457,61.87691778506873,9.132075471698114,54.961618037061065,edge
True,cctv052x2004080619x00099.avi,,20.40498161315918,384.24735249213455,4.415094339622642,62.15827786399575,cloud
True,cctv052x2004080619x00100.avi,2.0,3.726980209350586,70.64748727358304,8.423076923076923,54.06150266985326,edge
True,cctv052x2004080619x00101.avi,3.0,3.9618136882781982,73.49307132217119,10.924528301886792,56.81610028920563,edge
True,cctv052x2004080619x00102.avi,,20.493138790130615,393.28418786709125,8.192307692307692,47.47782584605461,cloud
True,cctv052x2004080619x00103.avi,0.0,3.3967514038085938,63.202673534177386,8.547169811320755,58.778227994502075,edge
True,cctv052x2004080619x00104.avi,1.0,3.823981523513794,71.44201026772554,8.056603773584905,51.998754129302924,edge
True,cctv052x2004080620x00105.avi,2.0,3.9414665699005127,75.04210563806387,8.26923076923077,45.8657044643478,edge
True,cctv052x2004080620x00106.avi,,20.1369366645813,379.2151280169217,6.150943396226415,59.19252151188039,cloud
True,cctv052x2004080620x00107.avi,4.0,3.074370861053467,57.295155975053895,3.9056603773584904,40.00064110158413,edge
